 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
58,vesta-0059r.fit,58,0,59293.618428,2459293.618428,NaN,NaN,NaN,1.154234,NaN,-20.417621,0.3,NaN,NaN,8.737157,1.6,12,40,60,17.355407,1.901863,0.5258,0.47283,0.117567,0.032503,36.705409,16.176895,16.176895,13359.901623,362.639214,930.450797,903.397001,930.950797,433.102999,231866.530109,540.977487,428.606616,29383,1203.477178,241.375394,4.962424,4.936264,4.988583,56.032108,0.999212,1108.593019,838.131247,1109.093019,498.368753,8755.996639,264.21975,33.139069,1362,281.104603,244.468633,4.788413,4.54311,5.033717,303.383938,0.932887,580.28782,1128.046135,580.78782,208.453865,4603.904984,248.38503,18.535356,772,246.779167,227.596229,5.154943,3.950017,6.359869,86.367729,0.800323
59,vesta-0060r.fit,59,0,59293.625881,2459293.625881,NaN,NaN,NaN,1.140664,NaN,-19.977101,0.2,NaN,NaN,8.658796,1.6,12,40,60,17.569844,1.749646,0.571544,0.69208,0.151652,0.049539,25.387017,11.537257,11.537257,9003.729778,353.667128,929.498059,916.064329,929.998059,420.435671,158194.129623,465.667955,339.714442,19222,916.115385,240.072096,4.941516,4.655638,5.227394,283.671504,0.983146,1106.142205,843.291882,1106.642205,493.208118,5729.224727,257.154124,22.279342,819,268.244726,244.070782,5.678344,5.433723,5.922964,61.082038,0.973902,578.090477,1133.613698,578.590477,202.886302,3274.505051,242.800729,13.486389,630,240.974468,227.040404,5.204624,5.324365,5.084884,41.058336,0.887573
60,vesta-0061r.fit,60,0,59293.626031,2459293.626031,NaN,NaN,NaN,1.140413,NaN,-19.977101,0.2,NaN,NaN,8.979401,1.6,12,40,60,17.836885,1.874383,0.533509,0.733027,0.174494,0.049666,24.333196,10.741839,10.741839,8958.15693,367.189124,929.151357,916.007013,929.651357,420.492987,159785.614006,473.018656,337.799814,17069,869.405512,240.328291,4.752871,4.951726,4.554017,16.131371,0.990242,1105.867985,843.216632,1106.367985,493.283368,5841.6076,266.091377,21.953389,938,267.011811,244.013356,6.067886,5.793103,6.342669,306.618703,0.901786,577.346526,1133.173783,577.846526,203.326217,3116.54933,253.028124,12.317008,647,239.046875,226.872854,5.256073,4.572455,5.939691,57.229002,0.618286
61,vesta-0062r.fit,61,0,59293.626182,2459293.626182,NaN,NaN,NaN,1.140163,NaN,-20.417621,0.2,NaN,NaN,10.459647,1.6,12,40,60,17.742151,2.041344,0.489873,0.82783,0.223962,0.053745,21.432109,9.114706,9.114706,9157.38223,426.344133,929.024166,916.723404,929.524166,419.776596,162471.660613,499.850335,325.040616,12245,714.947368,239.884033,5.460274,5.286174,5.634375,286.306172,0.99428,1105.576779,843.450281,1106.076779,493.049719,6146.416137,309.161616,19.880916,682,261.269565,243.453866,6.263528,5.803291,6.723765,278.769808,0.9765,577.406487,1133.575707,577.906487,202.924293,3010.966092,293.578635,10.25608,455,235.252174,226.524736,6.923677,6.593657,7.253698,284.118725,0.988344
62,vesta-0063r.fit,62,0,59293.626332,2459293.626332,NaN,NaN,NaN,1.139913,NaN,-19.977101,0.2,NaN,NaN,8.33448,1.6,12,40,60,17.625005,1.816029,0.550652,0.661468,0.152455,0.046227,26.645308,11.911913,11.911913,9054.100812,338.783531,929.395633,917.01347,929.895633,419.48653,159578.57661,463.106385,344.582976,18746,965.009091,239.651925,5.07303,5.133551,5.012509,36.585833,0.99321,1106.040491,843.933559,1106.540491,492.566441,5838.898744,245.280762,23.80496,907,271.257009,243.972436,4.490085,3.047214,5.932957,280.592672,0.609673,578.090024,1133.698571,578.590024,202.801429,3215.202069,233.691311,13.75833,630,241.302752,226.554119,5.101771,5.521859,4.681683,330.619938,0.900522
63,vesta-0064r.fit,63,0,59293.626483,2459293.626483,NaN,NaN,NaN,1.139665,NaN,-19.977101,0.2,NaN,NaN,8.739749,1.6,12,40,60,17.510981,1.919316,0.521019,0.667785,0.167345,0.045428,26.22248,11.469231,11.469231,9363.33264,356.047991,929.155342,916.656585,929.655342,419.843415,163961.142418,473.369659,346.370198,19719,922.533333,239.361907,4.808904,4.765668,4.852141,50.682963,0.991676,1106.39893,842.984569,1106.89893,493.515431,6155.960803,258.190107,23.842745,934,269.046218,243.180837,5.058663,5.172882,4.944443,13.447352,0.997439,577.376255,1133.540008,577.876255,202.959992,3207.371837,245.169413,13.082267,640,239.3361,226.027503,5.719842,4.849239,6.590445,273.747664,0.909948
64,vesta-0065r.fit,64,0,59293.634168,2459293.634168,NaN,NaN,NaN,1.128142,NaN,-19.977101,0.2,NaN,NaN,9.162675,1.6,12,40,60,17.428203,1.751146,0.571055,0.690698,0.152753,0.049813,25.232745,11.463927,11.463927,9463.017488,374.015213,929.683472,929.778469,930.183472,406.721531,164923.385341,480.324381,343.358347,19195,868.881679,239.403109,4.963547,4.765332,5.161763,72.577405,0.990559,1104.977584,848.451394,1105.477584,488.048606,6023.353115,272.011899,22.143712,1000,266.135338,243.491154,4.474741,3.055154,5.894327,278.24681,0.638547,576.138174,1138.671656,576.638174,197.828344,3439.664373,256.703927,13.399345,538,239.403042,226.32447,5.716114,5.308302,6.123926,54.172193,0.796531
65,vesta-0066r.fit,65,0,59293.634318,2459293.634318,NaN,NaN,NaN,1.127939,NaN,-20.417621,0.2,NaN,NaN,5.861665,1.6,12,40,60,17.498555,1.943005,0.514667,0.47659,0.120823,0.032004,36.716158,16.081436,16.081436,9045.767352,245.138396,929.83947,929.964268,930.33947,406.535732,158287.857223,430.566039,367.627363,21356,1665.09009,239.073358,4.679754,4.709222,4.650286,38.796746,0.996564,1105.638865,848.626277,1106.138865,487.873723,5972.11781,179.030857,33.358036,1266,300.457143,243.57983,1.40037,0.994001,1.806738,40.761835,-159.624208,576.651148,1138.713372,577.151148,197.786628,3073.649542,167.45383,18.355206,597,254.981481,226.521763,4.247594,3.961592,4.533597,276.140132,0.981177
66,vesta-0067r.fit,66,0,59293.634469,2459293.634469,NaN,NaN,NaN,1.127736,NaN,-20.417621,0.2,NaN,NaN,8.565779,1.6,12,40,60,16.868762,1.974158,0.506545,0.619583,0.167469,0.04297,27.226012,11.788222,11.788222,9554.88039,349.854026,929.932057,931.172313,930.432057,405.327687,161179.002174,466.805337,345.280976,21059,945.780702,238.855254,4.674634,4.791913,4.557356,23.64504,0.994535,1105.070858,849.440483,1105.570858,487.059517,6342.246417,254.433195,24.926961,1106,270.956522,243.381537,4.67979,3.860175,5.499405,63.355415,0.676774,576.191186,1139.444162,576.691186,197.055838,3212.633973,240.128275,13.378824,702,239.991342,226.083836,5.792684,5.581292,6.004075,48.059049,0.532283
67,vesta-0068r.fit,67,0,59293.634619,2459293.634619,NaN,NaN,NaN,1.127535,NaN,-20.417621,0.2,NaN,NaN,10.005812,1.6,12,40,60,17.506371,1.889995,0.529102,0.766965,0.18855,0.052784,22.825521,10.02384,10.02384,9289.073874,405.991416,929.512819,930.930154,930.012819,405.569846,162617.97235,491.241357,331.034776,22547,759.653846,238.442396,4.807469,4.682519,4.932419,58.249922,0.986446,1104.820595,849.473166,1105.320595,487.026834,6074.856403,293.455267,20.701133,1015,261.926282,242.455588,3.278821,1.451809,5.105832,292.802121,-0.4775,576.716036,1138.927121,577.216036,197.572879,3214.217472,280.558435,11.456499,589,235.806962,225.635388,6.895788,5.068929,8.722647,87.203666,0.752526
